Ligand,Binding Affinity,rmsd/ub, rmsd/lb
2v76_753_uff_E=64.71,-3.8,0.0,0.0
2v76_753_uff_E=64.71,-3.6,2.299,0.769
2v76_753_uff_E=64.71,-3.5,9.161,8.241
2v76_753_uff_E=64.71,-3.4,9.112,8.235
2v76_753_uff_E=64.71,-3.4,9.332,8.497
2v76_753_uff_E=64.71,-3.3,9.175,8.48
2v76_753_uff_E=64.71,-3.3,9.728,9.076
2v76_753_uff_E=64.71,-3.3,9.324,8.81
2v76_753_uff_E=64.71,-3.2,9.764,8.934
2v76_174_uff_E=40.68,-3.1,0.0,0.0
2v76_174_uff_E=40.68,-3.0,17.35,16.827
2v76_174_uff_E=40.68,-3.0,8.817,8.559
2v76_174_uff_E=40.68,-3.0,8.821,8.598
2v76_174_uff_E=40.68,-2.7,8.788,8.66
2v76_174_uff_E=40.68,-2.7,10.16,9.568
2v76_174_uff_E=40.68,-2.6,12.322,12.248
2v76_174_uff_E=40.68,-2.6,9.389,8.855
2v76_174_uff_E=40.68,-2.5,29.332,28.982
2v76_8172_uff_E=129.93,-3.7,0.0,0.0
2v76_8172_uff_E=129.93,-3.6,2.396,1.836
2v76_8172_uff_E=129.93,-3.6,17.691,16.528
2v76_8172_uff_E=129.93,-3.6,17.179,16.508
2v76_8172_uff_E=129.93,-3.6,17.988,17.287
2v76_8172_uff_E=129.93,-3.5,25.828,23.524
2v76_8172_uff_E=129.93,-3.5,24.553,22.79
2v76_8172_uff_E=129.93,-3.4,18.703,17.374
2v76_8172_uff_E=129.93,-3.4,16.753,15.541
